Date,Temperature
08/01/20,71
08/02/20,82
08/03/20,78
08/04/20,74
08/05/20,76
08/06/20,78
08/07/20,81
08/08/20,84
08/09/20,86
08/10/20,91
08/11/20,81
08/12/20,85
08/13/20,84
08/14/20,87
08/15/20,86
08/16/20,83
08/17/20,85
08/18/20,81
08/19/20,79
08/20/20,81
08/21/20,83
08/22/20,83
08/23/20,88
08/24/20,91
08/25/20,91
08/26/20,90
08/27/20,87
08/28/20,90
08/29/20,81
08/30/20,79
08/31/20,82
